@relation 'Clasfication2Weka-weka.filters.unsupervised.attribute.StringToWordVector-Rfirst-last-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.NominalToString-C2-weka.filters.unsupervised.attribute.NumericToBinary-R5-last-weka.filters.unsupervised.attribute.NumericToNominal-R53'

@attribute Id numeric
@attribute Description string
@attribute 'Initiative status' {'In progress',Pilot,Live,Research}
@attribute TherapeuticArea {Breast,Lung,Ophtha,Liver,'Alzheimers Disease',Haemophilia}
@attribute Prevention_binarized {0,1}
@attribute Unwellness_binarized {0,1}
@attribute Prediagnosis_binarized {0,1}
@attribute Treatment_binarized {0,1}
@attribute 'Maintain life_binarized' {0,1}
@attribute End_of_life_support_binarized {0,1}
@attribute Be_up_to_date_HCP_binarized {0,1}
@attribute 'Manage_and_treat_ my_patient_HCP_binarized' {0,1}
@attribute Advance_medical_science_HCP_binarized {0,1}
@attribute Manage_my_business_HCP_binarized {0,1}
@attribute Digital_Health_Solution_Dig_cat_binarized {0,1}
@attribute Information_Dig_Cat_binarized {0,1}
@attribute Service_Dig_Cat_binarized {0,1}
@attribute Arabic_binarized {0,1}
@attribute Bosnian_binarized {0,1}
@attribute Bulgarian_binarized {0,1}
@attribute Chinese_binarized {0,1}
@attribute Croatian_binarized {0,1}
@attribute Czech_binarized {0,1}
@attribute Danish_binarized {0,1}
@attribute Dutch_binarized {0,1}
@attribute English_binarized {0,1}
@attribute Estonian_binarized {0,1}
@attribute Finnish_binarized {0,1}
@attribute French_binarized {0,1}
@attribute German_binarized {0,1}
@attribute Greek_binarized {0,1}
@attribute Hebrew_binarized {0,1}
@attribute Hungarian_binarized {0,1}
@attribute Indonesian_binarized {0,1}
@attribute Italian_binarized {0,1}
@attribute Korean_binarized {0,1}
@attribute Latvian_binarized {0,1}
@attribute Lithuanian_binarized {0,1}
@attribute Macedonian_binarized {0,1}
@attribute 'Multiple Languages_binarized' {0,1}
@attribute Norwegian_binarized {0,1}
@attribute Polish_binarized {0,1}
@attribute Portuguese_binarized {0,1}
@attribute Romanian_binarized {0,1}
@attribute Russian_binarized {0,1}
@attribute Serbian_binarized {0,1}
@attribute Slovakian_binarized {0,1}
@attribute Spanish_binarized {0,1}
@attribute Swedish_binarized {0,1}
@attribute Thai_binarized {0,1}
@attribute Turkish_binarized {0,1}
@attribute Vietnamese_binarized {0,1}
@attribute GlobalRollout {0,1}

@data
63,'A website for you as patients on womens health Breast ovarian and cervical cancers related information such as disease information detecting and identifying them treatment options health tips support networks and more',Live,Breast,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,'New Zealand website accessible to patients to share awareness about all the treatments Roche provides in oncology as well as how to access them',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,'A website to help you as a patient suffering from breast cancer as well as the general public about malignancies and to highlight the importance of the prevention and early recognition of cancer',Live,Breast,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,'Kaiku Health is a webbased digital patient monitoring and management DPMM solution for symptom tracking and patientreported outcomes monitoring and management The Kaiku Health DPMM solution can alert the HCP of new symptom events and facilitate triage by assisting with patient prioritization based on severity of reported symptoms and can provide an overview of patientssymptom burden and interaction history',Live,Breast,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,'A vision for a patient owned and governed open digital ecosystem connecting Patients and Caregivers to curated and personalized information services products and resources throughout their entire health journey with the goal to empower them and drive better outcomes','In progress',Breast,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,'A digital health platform where patients can selfmanage their therapy and where Doctors can communicate and share the symptomatology of their patients with the direct specialist of the \\Support Patient Program\\ Roche wants to offer a digital tool that facilitates the communication between patients and doctors exploiting algorithms and technologies such as AI and Machine Learning SHC patients can ‚· Report daily clinical diary‚· Have official disease management information ‚· News coaching lifestyle‚· Improve adherence ‚· Have a patient community support ‚· Receive assistance through televisit With SHC operational dashboard HCPs can ‚· See daily diary of symptoms ‚· Track health status ‚· Set alerts on different parameters ‚· Monitor adherence‚· Activate televisit',Live,Breast,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,'This website was created to provide for women to find the most important information about diseases that may affect them and to convince them about the importnat of regular checkups',Live,Breast,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,'ePRO Patient Reported Outcomes CSV compliant mobile application used by PCOR group in an investigational study focused on patients function while on treatment for cancer',Live,Breast,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,'Description Roche aims to deliver industryleading DPMM solutions that improve the outcomes that matter to patients such as quality of life and survival for individuals receiving therapy for advanced or metastasized cancers by enabling patients to continuously report symptoms remotely and HCPs to intervene early before symptoms worsen and make effective treatment decisions while optimising healthcare resource utilization using solutions that are seamlessly integrated into clinical care',Live,Lung,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,'WAYFINDR is a global registry prospectively capturing linked nextgeneration sequencing NGS treatment and outcome data from cancer patients diagnosed with a solid tumour to address the evidence gaps that have resulted from rapid advancements in NGS technologies and the increasingly complex subtypes of cancers € most of which are rarelow prevalence This complexity reduces healthcare providersability to 1 decide on which NGS test is appropriate for a patient 2 decide on which treatment','In progress',Lung,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,'PACE Portfolio Access and Cost ImprovEment is an innovative pricing Pilot project to unlock access  It is Piloting how to make our products and services more affordable by distributing costs over time reducing budget unpredictability while increasing patient access',Pilot,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,'VESTO is an App demonstrating expected cost savings generated by using genomic testing based on a large set of data It helps to identify test approach by indication assess costs evaluate total financial benefits','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,'LungFlag is a machinelearning based algorithm to enrich the screening population by identifying a subset of highrisk patients Individuals flagged by LungFlag are referred to a physician for further assessment','In progress',Lung,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,'Problem statement  LDM launches are compromised by the level of country access readiness that prevents value recognition and affordability for the LDM portfolio Desired outcome  Customized solutions adapted to country archetypes to shape the lung cancer ecosystem and alleviate barriers along the patient journey to accelerate access to our current LDM portfolio',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,'Moving from a classic productcentric approachTo an Integrated Offer approach that aligns with the ecosystem in order to provide a holistic solution that creates value for the patient',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,'Use better diagnostics to drive better treatments for better outcomes  implement a national genomic profiling lab',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,'Priority topic for DCEN please connect with the contact person to know more about the projects','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,'Educational portal with access to a number of services from Roche to HCP professionals Available across LATAM',Live,Lung,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
83,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,'A tool to support communication and knowledge sharing between medical professionals to improve treatment decision process for patients with the FMI genomic profiling report This tool is financed by F Hoffmann € La Roche and managed by Roche Roche will have no access to any information uploaded in this tool nor to the opinions provided by physicians All data is stored securely independent from Roche infrastructure',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,'A platform for medical professionals with access exclusive Multidisciplinary Health content',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,'NAVIFY portfolio solutions help streamline workflow increase collaboration and standardize processes',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,'Redirect to Roche4Professionals longcarcinoom',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,'An educational resource for patients prescribed with ALECENSA The website is only available to patients via an access code',Live,Lung,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,'Understanding your cancer through genomic profiling If you have been diagnosed with cancer genomic profiling could help your doctor to know which treatment is best for you',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,'This site is intended to provide balanced scientific and evidencebased answers to unsolicited medical questions For full Prescribing Information including indications contraindications warnings precautions and adverse events please see the appropriate package insert This information is not intended as medical advice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,'This website contains information on products which is targeted to a wide range of audiences and could contain product details or information otherwise not accessible or valid in your country',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,'The Roche Testing Program is a Roche testing program which aims to subsidize diagnostic tests to allow patients to have access to healthcare throughout Brazil',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,'Portal Foundation Medicine Login',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,'Information about Preparation and Administration of these Products Bevacizumab Obinutuzumab Pertuzumab Rituximab IV Rituximab SC Trastuzumab emtansine Trastuzumab IV Trastuzumab SC Atezolizumab Tocilizumab IV Tocilizumab SC Ocrelizumab',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,'Understanding your cancer through genomic profiling If you have been diagnosed with cancer genomic profiling could help your doctor to know which treatment is best for you',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,'Alina BO40336 Investigator Meeting Presentations Training Registration site',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,'Redirect to httpswwwrocheonlinechdehtml The Roche onestop portal for healthcare professionals to get information about Roche products scientific data and services',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,'Understanding your cancer through genomic profiling If you have been diagnosed with cancer genomic profiling could help your doctor to know which treatment is best for you',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,'Website to order trial data for studying',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,'Site to provide medical information relating to questions asked about Roche medicines',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
118,'A platform leading the new era of clinical research with our single virtual platform to simplify patient enrollment consent data capture compliance and engagement',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,'Spotify Podcast playlist with general medical information',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,'Information about Tecentriq uses',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,'Spotify Podcast playlist A space of specialists for specialists where we will discuss different pathologies and their impact on the health of patients Created by Roche Medical Education The information provided by the Podcast',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,'RocheHub is an educational resource for New Zealand healthcare professionals Login or register for information on Roches medicines resources cost share programmes and services',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,'An informational resource for patients families caregivers or physicians seeking information in clear and simple language about clinical trials or diseases in which Roche  Genentech is researching or supporting research being carried out by others',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,'Login for Roche Access for Patients RAP program aims to improve access to cancer patients prescribed with the Roche Oncology Brands trastuzumab rituximab erlotinib and bevacizumab',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,'PeertoPeer Advice is an online platform to support communication and knowledge sharing between medical professionals to improve treatment decision process It is supported by Roche but has no direct Roche involvement',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,'RocheConnect is an educational resource for Thai healthcare professionals',Live,Lung,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,'Targeted therapies are being studied to advance treatment options for patients with actionable biomarkers € patients with gene fusions need highquality molecular testing to realise these opportunities',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,'This website is for healthcare professionals only and contains information on products',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,'This is an online medical resource for scientific clinical and trial information on Genentech products and is intended for healthcare providers practicing in the United States',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,'Rozlytrek Product information',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,'This is a training and education platform with some medical content',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
